,brand,id,mois,prot,fat,ash,sodium,carb,cal,newmois
188,G,14131,28.19,8.57,14.16,1.76,0.42,47.32,3.51,8.457
189,G,14112,28.63,8.42,15.24,1.43,0.43,46.28,3.56,8.588999999999999
191,G,14066,26.33,8.03,19.98,1.43,0.45,44.23,3.89,7.898999999999999
192,G,14085,27.28,8.55,15.18,1.51,0.46,47.48,3.61,8.184
193,G,14166,27.56,8.25,14.65,1.45,0.46,48.09,3.57,8.267999999999999
194,G,24022,27.72,8.06,15.34,1.35,0.42,47.53,3.6,8.315999999999999
196,G,24047,29.06,8.46,14.12,1.47,0.47,46.89,3.48,8.718
197,G,24033,28.55,8.25,17.3,1.48,0.47,44.42,3.66,8.565
198,G,24119,27.16,8.27,14.68,1.79,0.46,48.1,3.58,8.148
199,G,24121,28.33,8.17,13.64,1.45,0.47,48.41,3.49,8.498999999999999
200,G,24156,26.19,7.99,17.53,1.42,0.44,46.87,3.77,7.857
201,G,34008,26.45,7.89,17.97,1.3,0.39,46.39,3.79,7.935
202,G,34018,27.72,8.24,15.16,1.46,0.45,47.42,3.59,8.315999999999999
203,G,24059,25.0,8.49,16.87,1.45,0.47,48.19,3.79,7.5
204,G,34013,29.14,8.46,12.25,1.51,0.46,48.64,3.39,8.741999999999999
205,G,24149,28.64,8.01,16.02,1.43,0.45,45.9,3.6,8.592
